[2026-05-15 09:07:08]  quick-test-log
[2026-05-15 09:29:39]  Thread 'Thread-1 (_run)' started
[2026-05-15 09:29:39]  Loaded GFSK receiver modules
[2026-05-15 09:29:59]  Thread 'Thread-2 (tcp_gnuradio_signal_receiver)' started
[2026-05-15 09:29:59]  Connecting to gnu radio receiver server
[2026-05-15 09:29:59]  Thread 'Thread-4 (tcp_datacenter_transmitter)' started
[2026-05-15 09:29:59]  Thread 'Thread-5 (tcp_datacenter_receiver)' started
[2026-05-15 09:29:59]  Initializing parser client
[2026-05-15 09:29:59]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:29:59]  Initializing parser server
[2026-05-15 09:29:59]  Thread 'Thread-3 (tcp_gnuradio_noise_key_receiver)' started
[2026-05-15 09:29:59]  Connecting to gnu radio noise key server
[2026-05-15 09:29:59]  Initialized parser server, waiting for unity client to connect
[2026-05-15 09:29:59]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:29:59]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio receiver server
[2026-05-15 09:30:00]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio noise key server
[2026-05-15 09:30:00]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio receiver server
[2026-05-15 09:30:00]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio noise key server
[2026-05-15 09:30:00]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio receiver server
[2026-05-15 09:30:00]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio noise key server
[2026-05-15 09:30:00]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio receiver server
[2026-05-15 09:30:00]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio noise key server
[2026-05-15 09:30:00]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio receiver server
[2026-05-15 09:30:00]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:00]  Connecting to gnu radio noise key server
[2026-05-15 09:30:00]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio receiver server
[2026-05-15 09:30:01]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio noise key server
[2026-05-15 09:30:01]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio receiver server
[2026-05-15 09:30:01]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio noise key server
[2026-05-15 09:30:01]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio receiver server
[2026-05-15 09:30:01]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio noise key server
[2026-05-15 09:30:01]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio receiver server
[2026-05-15 09:30:01]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio noise key server
[2026-05-15 09:30:01]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Connecting to gnu radio receiver server
[2026-05-15 09:30:01]  Connecting to gnu radio noise key server
[2026-05-15 09:30:01]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:01]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio receiver server
[2026-05-15 09:30:02]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio noise key server
[2026-05-15 09:30:02]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio receiver server
[2026-05-15 09:30:02]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio noise key server
[2026-05-15 09:30:02]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio receiver server
[2026-05-15 09:30:02]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio noise key server
[2026-05-15 09:30:02]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio receiver server
[2026-05-15 09:30:02]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio noise key server
[2026-05-15 09:30:02]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio receiver server
[2026-05-15 09:30:02]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Connecting to gnu radio noise key server
[2026-05-15 09:30:02]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:02]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio receiver server
[2026-05-15 09:30:03]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio noise key server
[2026-05-15 09:30:03]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio receiver server
[2026-05-15 09:30:03]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio noise key server
[2026-05-15 09:30:03]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio receiver server
[2026-05-15 09:30:03]  Connecting to gnu radio noise key server
[2026-05-15 09:30:03]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio receiver server
[2026-05-15 09:30:03]  Connecting to gnu radio noise key server
[2026-05-15 09:30:03]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Connecting to gnu radio receiver server
[2026-05-15 09:30:03]  Connecting to gnu radio noise key server
[2026-05-15 09:30:03]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:03]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Connecting to gnu radio receiver server
[2026-05-15 09:30:04]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Connecting to gnu radio noise key server
[2026-05-15 09:30:04]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Connecting to gnu radio receiver server
[2026-05-15 09:30:04]  Connecting to gnu radio noise key server
[2026-05-15 09:30:04]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Connecting to gnu radio receiver server
[2026-05-15 09:30:04]  Connecting to gnu radio noise key server
[2026-05-15 09:30:04]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Connecting to gnu radio receiver server
[2026-05-15 09:30:04]  Connecting to gnu radio noise key server
[2026-05-15 09:30:04]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:04]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio receiver server
[2026-05-15 09:30:05]  Connecting to gnu radio noise key server
[2026-05-15 09:30:05]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio receiver server
[2026-05-15 09:30:05]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio noise key server
[2026-05-15 09:30:05]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio receiver server
[2026-05-15 09:30:05]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio noise key server
[2026-05-15 09:30:05]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio receiver server
[2026-05-15 09:30:05]  Connecting to gnu radio noise key server
[2026-05-15 09:30:05]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Connecting to gnu radio receiver server
[2026-05-15 09:30:05]  Connecting to gnu radio noise key server
[2026-05-15 09:30:05]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:05]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio receiver server
[2026-05-15 09:30:06]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio noise key server
[2026-05-15 09:30:06]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio receiver server
[2026-05-15 09:30:06]  Connecting to gnu radio noise key server
[2026-05-15 09:30:06]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio receiver server
[2026-05-15 09:30:06]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio noise key server
[2026-05-15 09:30:06]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio receiver server
[2026-05-15 09:30:06]  Connecting to gnu radio noise key server
[2026-05-15 09:30:06]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Connecting to gnu radio receiver server
[2026-05-15 09:30:06]  Connecting to gnu radio noise key server
[2026-05-15 09:30:06]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:06]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio receiver server
[2026-05-15 09:30:07]  Connecting to gnu radio noise key server
[2026-05-15 09:30:07]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio receiver server
[2026-05-15 09:30:07]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio noise key server
[2026-05-15 09:30:07]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio receiver server
[2026-05-15 09:30:07]  Connecting to gnu radio noise key server
[2026-05-15 09:30:07]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio receiver server
[2026-05-15 09:30:07]  Connecting to gnu radio noise key server
[2026-05-15 09:30:07]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio receiver server
[2026-05-15 09:30:07]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Connecting to gnu radio noise key server
[2026-05-15 09:30:07]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:07]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Connecting to gnu radio receiver server
[2026-05-15 09:30:08]  Connecting to gnu radio noise key server
[2026-05-15 09:30:08]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Connecting to gnu radio receiver server
[2026-05-15 09:30:08]  Connecting to gnu radio noise key server
[2026-05-15 09:30:08]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Connecting to gnu radio receiver server
[2026-05-15 09:30:08]  Connecting to gnu radio noise key server
[2026-05-15 09:30:08]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Connecting to gnu radio receiver server
[2026-05-15 09:30:08]  Connecting to gnu radio noise key server
[2026-05-15 09:30:08]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Connecting to gnu radio receiver server
[2026-05-15 09:30:08]  Connecting to gnu radio noise key server
[2026-05-15 09:30:08]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:08]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Connecting to gnu radio receiver server
[2026-05-15 09:30:09]  Connecting to gnu radio noise key server
[2026-05-15 09:30:09]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Connecting to gnu radio receiver server
[2026-05-15 09:30:09]  Connecting to gnu radio noise key server
[2026-05-15 09:30:09]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Connecting to gnu radio receiver server
[2026-05-15 09:30:09]  Connecting to gnu radio noise key server
[2026-05-15 09:30:09]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Connecting to gnu radio receiver server
[2026-05-15 09:30:09]  Connecting to gnu radio noise key server
[2026-05-15 09:30:09]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Connecting to gnu radio receiver server
[2026-05-15 09:30:09]  Connecting to gnu radio noise key server
[2026-05-15 09:30:09]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:09]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio receiver server
[2026-05-15 09:30:10]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio noise key server
[2026-05-15 09:30:10]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio receiver server
[2026-05-15 09:30:10]  Connecting to gnu radio noise key server
[2026-05-15 09:30:10]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio receiver server
[2026-05-15 09:30:10]  Connecting to gnu radio noise key server
[2026-05-15 09:30:10]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio receiver server
[2026-05-15 09:30:10]  Connecting to gnu radio noise key server
[2026-05-15 09:30:10]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio receiver server
[2026-05-15 09:30:10]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Connecting to gnu radio noise key server
[2026-05-15 09:30:10]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:10]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Connecting to gnu radio receiver server
[2026-05-15 09:30:11]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Connecting to gnu radio noise key server
[2026-05-15 09:30:11]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Connecting to gnu radio receiver server
[2026-05-15 09:30:11]  Connecting to gnu radio noise key server
[2026-05-15 09:30:11]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Connecting to gnu radio receiver server
[2026-05-15 09:30:11]  Connecting to gnu radio noise key server
[2026-05-15 09:30:11]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Error connecting to gnu radio noise key server: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Error to initialize parser client: [Errno 111] 连接被拒绝
[2026-05-15 09:30:11]  Connecting to gnu radio receiver server
[2026-05-15 09:30:11]  Connecting to gnu radio noise key server
[2026-05-15 09:30:11]  Error connecting to gnu radio signal server: [Errno 111] 连接被拒绝
